address,amount
F8wyRdMJG1vQxddZZHy7A6EDCu7NiNvAwE44nkkscNXQ,9256537
2Hb3LNBaV5mGMsCZNWTPDL2RFM6vVs5KdfxWj33JMJe7,9776214
7qx4ZJPdecQyoqPevwMC3s7q5p9GVQRdUhYVhpLseXGv,6409786
AwGRJxi3VzoDQQipqufaTyoaDm3iUEHBAxHUsa3uNENm,7659732
Bia7fyRYNgttJqoKDMtRuqBcfDodiBSSvDXDUwo9QM9U,5992488
HfBDK3DAk989QKsYuQbfo3ftic6sg7SU8NTc6hHRHr2X,2968993
3raJCUpiu82LX6tqDqQZGeHdLrt9mnDUf1LyicV1Nx1H,8921647
GNDa1VQ4XFNUJWL5w536cjjxsHxdpFCVeqFxrKsfhnqd,8209279
77ZM8mELiYZVsCq1vH1LzDV7PhGtXdvDSNE1PA2F1gYw,8948436
DwYaaREr3qj5AFbtE8RKrxyC5DFR5jdLCYBYMbEyVhWS,2178369
6ZkK4KJNcNntEFVJyYjLTomdzbAjRA9iR6KEbAeAoFqb,1760643
HeNXewTZqQeg9sXzdYcDt5BcGbuZSM4saWABVha8v9em,6342348
29e2caeTFXdJih4j6P74Hy9MJTH24yjHSig7vr7QrrDN,1835623
6aWjhXq3w3UWbxSbKwpyLLkvcS4RWXmeiePtULMWMah6,2936356
EtrWKcWeXKAL2tw84HUiDHfuPB3cRc2ZxESTwVy6i3uK,2718002
BwXQKvo5D3HmDvocbnFCe3SUMckLVhpHdwHXUfAAtJjw,9275479
DrWqmwcLGUQe6et2RnPfzNqGqK8Ay7BWigRxMkuBfESa,3159208
6Bg4HHSyxDSxQBoPGLVFRpGi8wnEvTkbGrkNQ9pwWEeW,7721558
DnMa51G3zedTQPB1eTeWjeSubLi21utisfsdfnshkaCF,6489638
84zD1nQ9LaBRn6R24BJ4pYDqt4pt4ptELfArrsir9vit,8030578
GnFQs26awGE5GKoZSZgum5wcmnUy2CRc8vNE5shSuqxw,6092461
m81HFg6bFfrzPcYwsXEY31Z35UnquBATP7yy3i5fUsU,7135357
7aVPqh1Qha1awKyYNtMZPPhyRG9kHtL8ES49Jp8N5EzC,9020783
Az7phXzwzvkqGq81wtvPqKhzceTZx9eKNdYmVaB9mUm6,7760830
BcUGMXqKAw5gKSgThqQGM128mV2qVXXHJuUZUjmNZUAG,643004
GSURSDs664VmEjsdggf6GQtSC72y4YKSCei4vGiCq8UL,2971002
C9BmPmYGueybhBCzP6Cp7DR445S1xoYo2umyr3yCCKvU,3386911
CuFRrgJpA4QYkgRZnZqFE1GCRAxxo1FMfaM3yHnj7ChN,4087447
3LjUeG7mRxAt118iidjvVBkvc9DjukUGSKsRrNibQXBx,8146421
9Ebj3yqvzMxd3F7ePoLsqg9qkiWxqa19riJDcexo8HqR,20328
4QpzzU8H1qZ6oXzMBckpCbAhqSMVpjahwknvtkkuHpWz,1377632
79L1gfNBH22bEx9eXiXthyawJg4zEAQVbHY9XY9KNmQb,7769005
9WC7uzNcnnyLfTV5BYdZJbdojXhs6GBRtGstvGsDxXWb,5013307
5rsKAgx5UQvg3R5yJmw1dkyKsg2FJ5xCLBP3whPEeCzU,1559287
2hyYHzJHWeXR49ryoFm7sPXoZ7AVNFeYsxLtF9i8H4DG,9658154
4eRJssWZQx4KzgeVKNayBneWLXcXr9gjVHcP9k2EF5hj,3673954
8S2ngkPH8YQ4ZpPk7KPtxdXq31oW2J3LqXFRGeFnnLQx,2872705
DV1R9BnXRM9bvV73gkjnCkReGGkXKco5AqPpq6bnzmEs,1485437
5VW8mAk2QMndNhaLvDXnUm5DFCk7NQM2etKySPeg9y6U,2945869
H5xJGziycG4ut6iQiV4q3j8h4c859ipvDH69KSPRe427,5219840
8WSYqzzyndUqs3BZTYL3KapGXUesQMLrcYrUcPX8enYm,4170764
FpyHD6U4s54nbckqdctGFZqgtQhAm4FsMvGsrALVzhRU,4562084
AGenam4HjRcXBtM49p8J85jNfzFFbgf5TioAvUHNNzn9,8794487
5YqFmmooq9PyeumbHtErjTe46mC97Ym31pH6SfNR7aHi,6983097
2f8PqPVz2avjX1PYmXWmPRBet3KGqpb9Cqegzas8CvP6,5567245
6zCMUScLRzYNcfbyocrh1XXRXP15dkwkG3KH23zpU4iQ,333166
BK27dNLk2sHhLcjgwjLzTt5anJyrKD8bpHV3umepCpRy,2657249
D6W3n5z4BAkdQwaE7pXd7zVvyB9M7Amz92kkJbcgGAHH,3913940
4X3ppKT5DLexbxC9AZcXm1ERzhB2ppSqCvAjH5tiSVYC,936774
EyKX5hb7RaBcLTaYGUj3MWwwi5R5q8jn734qNLnpVYCP,1456494
GjkNfUK7wPBRf8XSvqzWZ4A94QqfdHhUgbDtYPvNNLbB,2960862
7wfjfYMz1FrKY2Wm3yTQ31d5kJLV6hZGsRr4vmMMvbTf,9913627
BJvqi8DU2xMnN5dNmGT3h4FtbjwAWCtyVdLVtt12Gtsw,4082604
GkQQ2vBfz71AHCm4RumCA1KLEGEdXxGmjmVsCFVhR5Sd,6993472
6fE7ZwmLbYPMo1bxMSd5ETKak3cgTRsnHVM8LmxHVoVc,5943980
E2aD869UXA2NGGzxePvvFLHvPHaerJ3iXGrWhUuyJZub,9977682
Fmatod7ZYzpcfqMozoK24ELqLRgHb3qxGXbCkTzMwddB,7438112
FGY2Qh3SsnJyvWzBivrtkBZwt6NXr2iZ1UUi449RUKdG,7464976
5SHmrueknKpez2zh4SjwAarZbR51ax232CjigG6a4wJd,107761
GDBMiHLjRsu2fdX8skuN2B5w8brfCYHdhafmBi1VHCny,6278871
ANeLZGtERAiYbcLDX2iUpJ2rwefZZx2yCGpiLdBECCNZ,9094190
Gq1FpAGs5SKF7apsPFysmzuaM7T57S9QRdsK65bqYw6M,7786325
3mYF6FxQTESyqe67xT4nW73kZYiscRh8bqPHUzZL7EhG,5047642
5wmwbQq97xQGZMMtGVEbwYYh62S3WehijchBjxnR78VP,7307703
BHkcW4GuH7wiMFFADPLtm9FgLsvPB3DJRFUrBFzpkk4d,5975416
7PCdx9ZbuQhaA3mTmmQQveZhBSeGvGHNGnXSatNgJ66Q,9238824
ChS9afSfsaX1VJpCrCfUYwRQCUJyxnN3LWF5oqTz4dnT,2522691
86v3ZTiDJGqHr8uu66ttQyT1QTNbjGmbX71TALTQKLuk,5480668
6s9uPqPNbRhzZcQ42aRdyVoem8pYqXb5zLJesq8Y8SK8,3292405
9YDQGTKbjywg8Q5aXvsvYnP6sfjCNbG92WC1sRAWg5qc,2649491
6SJuBKX2Q6wwhqe64CgWBRTE1n9EG3qrhNiXVjjLagcn,3091571
9fxnPssVtNBSeCQuYP7jUfPp1a63vrnZ2xKvgDWwYVKq,4829549
3tcVVqwkwuiVt83pH6moLvwE2FNsDE9Mi8qkMMtq3JoP,6571424
8HdHqK9QtUAQjWmqD84sJtevGeq3bTcDyL49XqcHTumL,1931637
FYz3phyHC2xxk3xMMKxNwKvqZ4RVhZKZvycJYbCfnYz9,5274065
6UkHqjBQYYNEzdWpXKuqVNVihuLuXnbik1T4Lq7zqYpt,5525058
GbYEsSkCrP6Lk7RCNiPpjL1NS8wjE2idfuoYSbb1zmZR,8236087
4XzXXJZiqXyyiA3UhbjprqxUJ8sZcNad6PNGjxcqtGee,7589885
HJvaz4vWJ1cUMobR2kiMSiDR7bhiKM4Bbos8Tq9MNGtj,7107033
HomL86XB79hTkxHTW8sznjV9WMR1u1monbGxzQaUTnrh,7741125
C64GHvoDmwJHbD1Jo949Zvn8PVbgP92BFwmTHvqe1ZYr,2080813
ABHB6BqXxJLenCpvRT9kTZ45tZDs8E97SfZirw42G4fM,8603607
BTfPn8tCJv19ouDby3FPApMAzGgj2Y3m3ERKaLgavupe,435531
Bf8u5mcXuSc7tewKQbMq4B843Z1yWtq6HkbRSdGwuHrK,8567658
4HyQd6Z73msbqvy3B7JC6qrQq83rSM4Leg4NpYQxvxtb,7359349
G79YzzyeZQHoAEL98L4MWDCCAcVTxY4RdD5WeMRT6pyn,2173301
CPLGmQAkKicEKnw6LiUkGnoJffvXydDHyjuMhKvBPmLk,8131764
94zGQNUJWU5QvmGpqA3jNrV6vfsH9hrd6J7CAjcRsRkj,5900348
DzG5hdXQhJeDK7cGSy4q6zQAgyvC3td1Lb6nw1gajjrd,6550266
4i8e5oTnt5hn6NohptCxS1ETzLNv8kCoKbBE2NXmuYWX,2231111
7h11V7mPvuiCXyETzjqcSe7qmNJUY4tfPRKZcQ6kVhGw,7885842
58MyiSyYc4GdKczRDrNRqtWLtMPJDWYfbSjSyYJX3Pbw,5891962
9t5yd167hRAbSc5BZmdNKSchjbDsxaQVkuUzAUEEo2Vo,593628
CXTgSuo8r39VcFDmB7BvdgQyBmZHwsmZvnSqbkrPwZYF,5794744
Eak4astNjFSXhNu8wk5HaLe1qcE1mLfCxN2v82KeAUTH,6068975
CjjfxZkBAAyREfcK5V7AZLbWUMXbf6o429J9FRU7UQwS,6377828
FhyMzGg7jdYBULbpnVAfeUi2BmqTYE13cBf5pdSdzPHQ,1966207
FbzXQXAdNkR3SJbcisqadijxopUFCoBikPRTJ4TpWbZK,4015595
9yb8QRkmXHWQczHbxuCVLtE3zGDBhPQEofpFqLvafnm7,3450907
AQ3JsUDrodDYQfv9XiBbyMBi9urnZyRPijVwGFsSxMkS,9456183
B6dBcTF56z7o3Nb31Hux4HpiscB5CH6csv4jgfaZUjhm,6425192
BCGgas4EyaovAAgVYir9RYRnwYNp8xMF2kjPpzvtycbV,5570347
GRRL5iijvCEixbPCKR1nYJDWuk4tJbj4DZ5A6ijfVL3z,1364834
A3HXsVxyXZHi7sWpbsRiqNmxipUtiZ3yB1ko6vKz5WaR,4946177
EXhGuXb24WpFSXf6immEFw52Sx9ShmUXRUEjtZV9JLPc,675861
5Yd8CFvFqzL5PLyockv45rYBiKeATi6rarYf5iuo4NBL,9287075
AQRBgqv1pF3A3XrkAuv8BbGrZy5pXGP5WAUDxdCXFM6G,6039036
5HxRwFhB7JdP69BnPaP1veVBDq837aDxTn8iqiY8JgAa,4780160
FTvETW2DC8mjB1z651aZ268yagX7zK5zDq3vn7Kzjc5Z,8053606
3rBjoi7VXsbvX1DGnJtaJTjsHQZBHt9V7Qhx4DRJE4BX,2323636
GUupPn8M5AjPiWZFiHmWoGg8oUaiycZXHNMMnJ78TCUF,2138853
89dEZ8X27bKU5siufkkJPjQH8cMbGh32y8KBhHV4nmwo,8608858
2r1MsyKT9xZaUvFQSFD66p8SQV2ReBmdawcdCHnCUPWW,1592915
Ca4h4hcxCSiq4VwVVHfQA1rYARKEi496deaj9AX2Acwo,9989862
6URFyYAJDh4dBLYqDZHYya5Ka53GQUGPCyCH7Pt8Jh5W,5062517
8BCXKokAprheZSu4PdWsHcvKPs4RLa4BVcpf6RmbSnqx,5379854
B7njUbfknNySoPjKEiXWZfH3SFdudHjcp3qxJQhM53tm,3627244
fJcxGGejdn8owAij63ExkoLbLmwdUK5e6B7ixaGg2rc,7783031
ENUU3jLcq5KWs3QXPXBFwxAhNJTeLYkMTpnpiFrn5Bqb,9489417
6wrPvHrVhhJMwaLGpXbAWytoe2h9bxGfptabhQUVFJuS,9583782
9gv1gQRreQLemNkK9rggk5xQTbkUsTFnrpsMBanJLcdC,6613719
6Kbrtn2UaXbQT2jLLmwALv7QhjeXLJ6mYC63uBNyCVMF,960976
CDhRvY4ZnsvUWueHjqRJYDK5A9gk7cqqSTranKwkzFD2,4392044
Bje5aThPdmQ1k5tkCShJZ9egFPW4EvoP5KFQLFTgStbG,1653663
5WBoSTNfx5ni4SL7r3opvmwVe88222E1JCXXinnvMYY4,9105331
FdQRdxa6GPxC58gnbDkZLv3B3wcuXLWByCbeECwiSmsY,4676910
oefFoY5HQok9ZStxRL3mVnaDybrKQaEdiBUt5PWhvrz,9674454
G9ukFCFAF38NiYdkPcCxb26RGP1rfqZC4pZVcusEr3w3,8070177
CpjLftNcwXcwXXgZVPccN9Le1LaXWzEwB1v45nxJmdK,8338060
FKDtuKYAmEizv7rhsuv1bc2XSNfz9NUg5c1qzrZD42Ga,3963980
F5c9oGihJfMXs28h8dUTZ6Lj7cB3HZJ9LNLyMr1NC6a,6038781
A5SaWM1hyEYWDtSjowFJJZxM46F57oRBaqkEcQ9krVjb,8980395
HczjxLnbWMqwhCvU9KGND3o6RyyPpuMNGXmJZ4tUyGeh,4670915
B9nELuH4uLvmPZ9Sx8B1CLrDQ8X6C5HAtuKbQ13UqCkf,1452728
Fdma3C3e6jJc7WFRQB1GPY4DvsoqSbr9TjWxwqDD5Wdg,9036841
F7Me46oJ5yYdY7FWdxPNQrNkWgXh5rBTeV2HX46z4mG1,2792862
GJfEurZCv2eezxc7kSjsmuBWt3SvFuYeA1dLLaWrRfbN,4158582
HwRgGexDGmHLX5Z8ZtZWYoubS225YmuaraCEB4ss9A8d,145877
28XHemqehPjhaeykVotw1XY3irpioHSBLvVipQdPQDPk,9467621
63kWiqjxDB4WKaoAYoikFmaairTPzD8pVWCaRAWK6Nkg,9973387
F75Bc46uJJH6nxfiMcKWX8DHVGrZtEMHcu5caZrn8D47,8112976
2U9kGHm5Jt9Yes5QucB1GtZ2SQKN38eWJBnyKgRfU1iy,2747598
GkzSvGL95ZLT1ddWR1y9fE9hb24arKby558njcBT2QPK,1233233
FwXPbesXm215UYTxcKa81EWerpkdecUZHNYTj9pym5Ca,4566923
7GSuqYR4wrjmH3zP2Y67LkZQX4ukxp9W9pZNfYsMAHJZ,5273436
6GN2oBPB37rdrVNGZFWHzdW9rrHfXNyXYFv5pEmkvkBC,2286085
EXujRSmeBZNXfidrLxT9jK5f8tMGoHuY3g8q679TfkED,9098041
6yvTk8625ABZ1ai3rsXxKERTDg2WYVqYir6RABpntFru,3503076
6fGuWBkJ5VmMWQBJofRvxRMjwJQk8B7KRA8k24Jvdfmi,6966631
23ziDZkwhHujp94QgG8J6gdFhNQ6r4RFSD8eXULg2QNC,1614256
4tpaL6FjNea6mu4jZyUem74N7sVRGtsgJdB4hyv8Gm4H,2248142
6yTfpyHdQn6vExDfS3FNe7G8TwXQ1wYKUcT7mtYEtSBJ,6898235
FhMzAsbisfMQBReHuAzA8RWFr1vGKFeNZhwJ682hJbYg,6043553
DtqrrWMBvoCY4423M2BMaXnX8LjpAhDbxR7Snkp4mH8X,9095322
9UYf5wAsVYcQH2VA5j9pyDQu68XzrGr6xnhGKaL6LywM,1536982
9Ee4biADA89Q59kQXVWHYrw9aJT21ZzBgssvbuUFeM7u,1733431
CxpWMVPynsyQrBzaEi5p3Qev4RM5nRAUDpAKmd1e3Bbc,7570371
ApUm2MKtsjAwLw89hcvNSjckJBUyLbGJ7NsWoqYx9pMc,9536924
GkWutrFGP1MYmaHBTxcgsDfzRHFcnPj5RimGraJs1cK5,5443877
3G8MzU4UgyzwRZFq3y9jvMLoVYtMab7CyQD8Ly27ZEBi,6288337
8f5SemfEasevVvWbKoWYKm32yTyX9HxqYcHxhjgTEgK4,7711454
7U4mAoQAH7XvX7obMnV84sipHGFzNXUz5WpS9ryUPGWM,1428685
BNNDSbZAFmvBjiqCq7J6AgXDWMBw2fqtMtNvwQsPZxKy,7426554
9cooMsKQ6ydpEziXSw15WLefxJjD8wdAmXRStBkLEGvD,5395159
D2e7HViRK1vpUnSpxd8GHfvKpC9wiuLqwZHiwJ8vJti9,3956544
GQNJjaGQnVriMTnr6v5SqaHZj5LNBQ4czi5ppGHsUBWC,689687
2t1zqPAcRRWY8B4wcyxJPoJNxr9hMzaKSzpcEH4anubZ,9526953
2WRWTDcopKw7HxNKgcho6D4SscFBfydNpsRAgXYJhE3a,7177073
GCUwKEue8MQkQQ31BugLGxuHQy9TqenMcSGgJUvyyw7d,398100
p6n19pjZPUerJTJX6HCrDQ9EYdRNAFPBcng7TaeXyea,926539
edqti5iS1cQotdeo1C2mKcgGX5wVm1579HVkYGHnWcL,2680604
FLp3upBsjDrA2SpSMxccoQEgy1Be9bSjdFp7e1m5zRZD,1952449
BKbpB8D9suWT3UoXxpATXgwBhiANLKQnxWSwnqtNuDMm,4116543
2BPKFH2Yf33yRZFPSgvkx193MJZUKaSjxUdkTdwYknyk,3492561
D1fKUnH6fuhGdjpJkrG6qShj2texqanZ5rjTFoPzFWk4,9209899
EEhDQi1EE7kxNKQRbXFvt5pjvicF4wcMM4itLzZq4M4J,4878258
2RnKDpZWfaF1ut33HRcRSBop3aoZpCM6aAvmayxytAur,9614443
9ca56Bguu8PvQz77RBHATbBreQ85s64ttQXuiXLJxNmp,5550429
ady7aJQv94eYvAjCdhc14wpTNcR4zZxB1jgCH7JE1FL,865124
3mjYjoysVMRSKnWa82THhgJfQE1LMQBVYPysxvUGQ5mD,1620345
6z3jv7QFz28CwmqFehg6jxTh7N3BubmwwwS3FAHu62Ux,667315
GazfwxAuEbR2MRPcdYZ4jrHW4KBoB8cj6yBkVQCoumZH,7507126
DAxDUUbFXeAgXBYfV1eiK3LKdhQJ5FoXMxxJAaFvY8VN,336304
2mqFSgEJJAavkhVjH59bhz4oMsKeyYTk9FPCUmhLrwYr,9067876
13i3jRPV5bneNh1LHnp6o4WKWmuocv64BxSyazkaEwm3,3850048
52Zyf1ohneaCB7utBGcCTPygfhxiTofPYedrLYaFFBER,2942110
9Xt4gaeURuGdySbRKYJmYkGbfiTRD8hYGaevNuGAkcDx,2724684
EMz4nf3gy632356yJNQABxuDquE9zGpPkzDcFC3uhhTh,1913955
EGbDai3N3f4SJ4tRMrh99dCecyjEK8sFfL5rh4nGQmbq,1734446
H9ecqQaxLy7zGJNAGcy3bE7UmKbKBYbLWWGc54WddtNL,9764356
7H2PyfLQQebw9oW2NPULuasYVvvsugXYpfKDZNsTkt4t,8702607
3Wm3X94NxwQoZa2FV1zJ3UX18r4Q4MgZD9TD3zF4xUgp,4031737
EA9Up7QrPtLspj2th9Wc3ZvuBiyBxyKxnvdfXwMpGuXg,4037744
bi2q9rafhnqWwnayVK5wLaj9sRdvDifeBsWCwLxNtKA,217623
GrhGoSNH96PXWUB1cJhbcah131vmv3x82uT6mdo1FWg5,9024308
6HUAVRfWSQ7jzNE8WWEpLWHcR9gZamhy7ETqHJW4fsM6,6272005
5pVQqW6p4eW8h1z4XgDK9vovD8rBTM36xux1PfHYCtip,1345639
EGtc7EjJKfPHicnmPu38coJWwXQZoU4sgtmj76KupPiD,4898916
CwcDLeot5KX8gzKQRioXLAoAwjKtY9oiR5nvi2WQ9MWg,3851876
rK1CJ4XEKCsx2wwM6vwDa63vAdKCZm7HyZRj6Dq98XH,791961
5ncMiVpoExf56iCpHwXbpSbou3QsRyxc8SaqpVfbNxxG,4632146
HhsKG5o7izmotiJTYF21Y2AEVySVxdtzriRf5xadWhGq,8193283
EyvfYg1aGgDV6iJew1RM74qistgHY4P3Ydv3NvVZNT8a,7261665
J4QykxFxmMwwVEW3JisQJuZrF48wgGg5YoYU7x8DAE8u,2662650
DAiasjGaQ8dyygJknLxb5UhkDyk6w5P8cUwQ1SScvLu9,1018516
9Z9GrZd3C51FEdt3RWCQcGQnutkHf8cVJtMtQEE1ariD,5129916
mcLBNNZCEUka6gASCmnEjf4rDc9eBbZm8wRR7Q7uSLg,7796546
2aPBnHxVjs3N8RWPfFRVASa25qS5bVmP7mfi2WNSfemE,9173948
H3U51bzpP4Ti4zrLkDT78x2adiixW2eFJeFo8QYZxTb,1988474
28zvJdNoXBXPRBKFHKrjyBX1Q541xReKfH9M9m2PPpmT,2743373
42kfu95bnwPMaa2iJMXAfeih5SQsuCkeUVQvgUS5ciDC,3239722
FrsfGxtZoJoDsiRGm16DaQgSpscCSj5XwhKEHxXkzgFL,3789176
FsbsBD3otoN8jxB278x7gNe9BQ76Kxb9tyju5cSnpu8d,839899
6EZqsBoNsBGnx2CmECgowMEiizFsJhFBdgFvhs1bCAeC,8708551
7JqWDwMtKcxBrtQpf16WVCUdFChWeM3RaJetQZTPzk5o,9799679
EX3YgWPH9SczxkP6C1hEgZ8xrSppqgubGNZC6j7XFLv9,2320296
